# SmartSpeak Verified Labels Dataset
sample_id,folder_id,filename,algorithmic_label,human_label,borderline_distance_score,borderline_rank,measured_shoulder_tilt_deg,measured_spine_angle_deg,measured_shoulder_y_diff,measured_shoulder_span_px,algorithmic_rationale
36,3,"frame_017.jpg","Best Posture","",0.012,12,4.9,5.6,0.0093,52.2,"Tilt=4.9°, Spine=5.6°, YDiff=0.009"
37,3,"frame_021.jpg","Best Posture","",0.2,141,4,3.9,0.0082,56.5,"Tilt=4.0°, Spine=3.9°, YDiff=0.008"
38,3,"frame_027.jpg","Best Posture","",0.398,180,3,3,0.0064,58.3,"Tilt=3.0°, Spine=3.0°, YDiff=0.006"
39,3,"frame_029.jpg","Best Posture","",0.104,103,2.9,6.7,0.0058,55.9,"Tilt=2.9°, Spine=6.7°, YDiff=0.006"
40,3,"frame_030.jpg","Good Posture","",0.048,69,4.8,9.6,0.0082,47.4,"Tilt=4.8°, Spine=9.6°, YDiff=0.008"
41,3,"frame_036.jpg","Best Posture","",0.3253,176,2.3,5.1,0.0049,58.7,"Tilt=2.3°, Spine=5.1°, YDiff=0.005"
42,3,"frame_041.jpg","Best Posture","",0.296,173,2.3,5.3,0.0054,63.3,"Tilt=2.3°, Spine=5.3°, YDiff=0.005"
43,3,"frame_047.jpg","Best Posture","",0.248,161,2.1,5.6,0.0053,70.4,"Tilt=2.1°, Spine=5.6°, YDiff=0.005"
44,3,"frame_054.jpg","Best Posture","",0.3333,177,0.1,5,0.0002,64.8,"Tilt=0.1°, Spine=5.0°, YDiff=0.000"
45,4,"frame_002.jpg","Poor Posture","",0.0553,81,21.4,14.2,0.0248,55,"Tilt=21.4°, Spine=14.2°, YDiff=0.025"
46,4,"frame_006.jpg","Poor Posture","",0.02,25,,,,,"OpenCV fallback tilt_offset=15.3%"
47,4,"frame_018.jpg","Poor Posture","",0.133,119,11.3,0.7,0.0145,61.9,"Tilt=11.3°, Spine=0.7°, YDiff=0.015"
48,4,"frame_021.jpg","Poor Posture","",0.17,129,11.7,1.8,0.0149,61.5,"Tilt=11.7°, Spine=1.8°, YDiff=0.015"
49,4,"frame_026.jpg","Good Posture","",0.007,7,9.9,0.1,0.0125,60.9,"Tilt=9.9°, Spine=0.1°, YDiff=0.013"
50,4,"frame_030.jpg","Best Posture","",0.084,98,4.6,1.7,0.0059,62.3,"Tilt=4.6°, Spine=1.7°, YDiff=0.006"
51,4,"frame_032.jpg","Poor Posture","",0.126,116,11.3,1.3,0.0148,63.6,"Tilt=11.3°, Spine=1.3°, YDiff=0.015"
52,4,"frame_039.jpg","Poor Posture","",0.083,97,10.8,1.2,0.0145,64.8,"Tilt=10.8°, Spine=1.2°, YDiff=0.015"
53,4,"frame_040.jpg","Best Posture","",0.036,48,4.8,2.5,0.0063,63.3,"Tilt=4.8°, Spine=2.5°, YDiff=0.006"
54,4,"frame_042.jpg","Poor Posture","",0.292,172,12.9,2.4,0.018,67,"Tilt=12.9°, Spine=2.4°, YDiff=0.018"
55,4,"frame_049.jpg","Good Posture","",0.001,1,10,1.6,0.0133,64.2,"Tilt=10.0°, Spine=1.6°, YDiff=0.013"
56,4,"frame_050.jpg","Poor Posture","",0.225,148,12.2,2.1,0.0162,63.8,"Tilt=12.3°, Spine=2.1°, YDiff=0.016"
57,5,"frame_006.jpg","Poor Posture","",0.265,164,62.5,32.7,0.0588,38.2,"Tilt=62.5°, Spine=32.7°, YDiff=0.059"
58,5,"frame_021.jpg","Good Posture","",0.024,28,5.1,1.4,0.0053,50.5,"Tilt=5.1°, Spine=1.4°, YDiff=0.005"
59,5,"frame_025.jpg","Good Posture","",0.04,54,,,,,"OpenCV fallback tilt_offset=7.8%"
60,5,"frame_032.jpg","Good Posture","",0.0267,34,,,,,"OpenCV fallback tilt_offset=7.7%"
61,5,"frame_036.jpg","Best Posture","",0.3067,175,,,,,"OpenCV fallback tilt_offset=5.2%"
62,5,"frame_042.jpg","Best Posture","",0.12,113,,,,,"OpenCV fallback tilt_offset=6.6%"
63,5,"frame_045.jpg","Good Posture","",0.0267,34,,,,,"OpenCV fallback tilt_offset=7.7%"
64,5,"frame_046.jpg","Best Posture","",0.0133,16,,,,,"OpenCV fallback tilt_offset=7.4%"
65,5,"frame_048.jpg","Poor Posture","",0.003,4,10,4.4,0.0098,47,"Tilt=10.0°, Spine=4.4°, YDiff=0.010"
66,5,"frame_050.jpg","Good Posture","",0.019,22,9.8,3.6,0.0099,48.8,"Tilt=9.8°, Spine=3.6°, YDiff=0.010"
67,5,"frame_053.jpg","Poor Posture","",0.052,74,10.5,3,0.0102,46.7,"Tilt=10.5°, Spine=3.0°, YDiff=0.010"
68,5,"frame_056.jpg","Poor Posture","",0.347,179,13.5,2.5,0.014,50.1,"Tilt=13.5°, Spine=2.6°, YDiff=0.014"
69,5,"frame_058.jpg","Best Posture","",0.268,166,3.7,0.1,0.0039,51,"Tilt=3.7°, Spine=0.1°, YDiff=0.004"
70,5,"frame_060.jpg","Poor Posture","",0.27,167,12.7,72.1,0.0017,6.4,"Tilt=12.7°, Spine=72.1°, YDiff=0.002"
71,5,"frame_063.jpg","Poor Posture","",0.0133,16,,,,,"OpenCV fallback tilt_offset=15.2%"
72,5,"frame_066.jpg","Poor Posture","",0.1067,104,,,,,"OpenCV fallback tilt_offset=16.6%"
73,5,"frame_069.jpg","Poor Posture","",0.0125,15,65.4,54.1,0.081,49.9,"Tilt=65.4°, Spine=54.1°, YDiff=0.081"
74,6,"frame_001.jpg","Poor Posture","",0.24,156,12.4,1.4,0.0137,53.3,"Tilt=12.4°, Spine=1.5°, YDiff=0.014"
75,6,"frame_006.jpg","Poor Posture","",0.2487,163,86.7,73.1,0.0999,48,"Tilt=86.7°, Spine=73.1°, YDiff=0.100"
76,6,"frame_009.jpg","Poor Posture","",0.2775,169,89.1,79.5,0.1022,48.9,"Tilt=89.1°, Spine=79.5°, YDiff=0.102"
77,6,"frame_013.jpg","Poor Posture","",0.2425,159,88.3,83.1,0.0994,47.6,"Tilt=88.3°, Spine=83.1°, YDiff=0.099"
78,6,"frame_016.jpg","Poor Posture","",0.205,143,88.2,89.7,0.0964,46.2,"Tilt=88.2°, Spine=89.7°, YDiff=0.096"
79,6,"frame_021.jpg","Poor Posture","",0.3362,178,86.2,86,0.1069,51.5,"Tilt=86.3°, Spine=86.0°, YDiff=0.107"
80,6,"frame_029.jpg","Good Posture","",0.242,158,6.2,0.6,0.0121,94.3,"Tilt=6.2°, Spine=0.6°, YDiff=0.012"
81,6,"frame_030.jpg","Poor Posture","",0.2413,157,34,19.7,0.0607,81.5,"Tilt=34.0°, Spine=19.7°, YDiff=0.061"
82,6,"frame_037.jpg","Poor Posture","",0.2913,171,59,69.9,0.0567,39.7,"Tilt=59.0°, Spine=69.9°, YDiff=0.057"
83,6,"frame_038.jpg","Best Posture","",0.17,129,4.2,3,0.0042,49.1,"Tilt=4.2°, Spine=3.0°, YDiff=0.004"
84,6,"frame_040.jpg","Poor Posture","",0.05,71,10.5,18.6,0.0161,74.2,"Tilt=10.5°, Spine=18.6°, YDiff=0.016"
85,6,"frame_043.jpg","Poor Posture","",0.0025,2,85.6,75.5,0.0802,38.7,"Tilt=85.6°, Spine=75.5°, YDiff=0.080"
86,6,"frame_046.jpg","Poor Posture","",0.3063,174,84.7,82.2,0.0555,26.9,"Tilt=84.7°, Spine=82.2°, YDiff=0.055"
87,6,"frame_049.jpg","Poor Posture","",0.118,111,16.1,13.2,0.0215,64,"Tilt=16.1°, Spine=13.2°, YDiff=0.022"
88,7,"frame_003.jpg","Best Posture","",0.184,136,4.1,0.9,0.0042,49.7,"Tilt=4.1°, Spine=0.9°, YDiff=0.004"
89,7,"frame_008.jpg","Good Posture","",0.05,71,5.2,3.1,0.0059,55,"Tilt=5.2°, Spine=3.1°, YDiff=0.006"
90,7,"frame_013.jpg","Best Posture","",0.158,125,4.2,1.6,0.0047,53.8,"Tilt=4.2°, Spine=1.6°, YDiff=0.005"
91,7,"frame_016.jpg","Poor Posture","",0.029,40,10.3,3,0.0122,57.5,"Tilt=10.3°, Spine=3.0°, YDiff=0.012"
92,7,"frame_019.jpg","Good Posture","",0.057,82,9.4,2.7,0.0109,56.1,"Tilt=9.4°, Spine=2.7°, YDiff=0.011"
93,7,"frame_028.jpg","Good Posture","",0.0253,31,7,7.7,0.0066,45.6,"Tilt=7.0°, Spine=7.7°, YDiff=0.007"
94,7,"frame_031.jpg","Best Posture","",0.226,149,3.9,0.5,0.0044,55.5,"Tilt=3.9°, Spine=0.5°, YDiff=0.004"
95,7,"frame_036.jpg","Best Posture","",0.244,160,3.8,0,0.0046,58.6,"Tilt=3.8°, Spine=0.0°, YDiff=0.005"
96,7,"frame_038.jpg","Good Posture","",0.003,4,10,1.7,0.0124,60.3,"Tilt=10.0°, Spine=1.7°, YDiff=0.012"
97,7,"frame_043.jpg","Best Posture","",0.078,91,4.6,0.4,0.0057,60.3,"Tilt=4.6°, Spine=0.4°, YDiff=0.006"
98,7,"frame_045.jpg","Best Posture","",0.052,74,4.7,2.3,0.006,61.1,"Tilt=4.7°, Spine=2.3°, YDiff=0.006"
99,8,"frame_001.jpg","Best Posture","",0.02,24,4.9,2.3,0.0055,54.5,"Tilt=4.9°, Spine=2.3°, YDiff=0.005"
100,8,"frame_004.jpg","Best Posture","",0.118,111,4.4,2,0.0052,57.1,"Tilt=4.4°, Spine=2.0°, YDiff=0.005"
101,8,"frame_009.jpg","Best Posture","",0.228,152,3.9,1.5,0.0043,54.6,"Tilt=3.9°, Spine=1.5°, YDiff=0.004"
102,8,"frame_012.jpg","Good Posture","",0.054,79,5.3,1.3,0.0063,57.7,"Tilt=5.3°, Spine=1.3°, YDiff=0.006"
103,8,"frame_016.jpg","Best Posture","",0.162,126,4.2,1.6,0.0049,56.8,"Tilt=4.2°, Spine=1.6°, YDiff=0.005"
104,8,"frame_020.jpg","Good Posture","",0.034,47,9.7,1.3,0.0113,56.5,"Tilt=9.7°, Spine=1.3°, YDiff=0.011"
105,8,"frame_023.jpg","Best Posture","",0.104,102,4.5,0.9,0.0051,55.1,"Tilt=4.5°, Spine=0.9°, YDiff=0.005"
106,8,"frame_025.jpg","Best Posture","",0.23,153,3.9,0.8,0.0042,53.5,"Tilt=3.8°, Spine=0.7°, YDiff=0.004"
107,8,"frame_032.jpg","Good Posture","",0.069,85,9.3,1.4,0.0112,58.2,"Tilt=9.3°, Spine=1.4°, YDiff=0.011"
108,8,"frame_040.jpg","Good Posture","",0.082,96,9.2,2,0.011,58.1,"Tilt=9.2°, Spine=2.0°, YDiff=0.011"
109,8,"frame_041.jpg","Best Posture","",0.186,138,4.1,0.4,0.0049,59,"Tilt=4.1°, Spine=0.4°, YDiff=0.005"
110,8,"frame_045.jpg","Poor Posture","",0.176,134,11.8,0.1,0.0145,59.4,"Tilt=11.8°, Spine=0.1°, YDiff=0.014"
111,8,"frame_049.jpg","Best Posture","",0.212,145,3.9,0.6,0.0047,57.9,"Tilt=3.9°, Spine=0.6°, YDiff=0.005"
112,8,"frame_053.jpg","Good Posture","",0.08,94,9.2,1.9,0.0108,56.8,"Tilt=9.2°, Spine=1.9°, YDiff=0.011"
113,8,"frame_057.jpg","Best Posture","",0.152,121,4.2,0.2,0.0055,63,"Tilt=4.2°, Spine=0.2°, YDiff=0.006"
114,8,"frame_067.jpg","Best Posture","",0.206,144,4,1.1,0.0045,55.5,"Tilt=4.0°, Spine=1.1°, YDiff=0.005"
115,9,"frame_001.png","Good Posture","",0.111,105,8.9,2.5,0.0116,63.1,"Tilt=8.9°, Spine=2.6°, YDiff=0.012"
116,9,"frame_007.png","Good Posture","",0.012,12,9.9,1.7,0.0122,59.6,"Tilt=9.9°, Spine=1.7°, YDiff=0.012"
117,9,"frame_011.png","Best Posture","",0.126,116,4.4,0.9,0.0052,58.1,"Tilt=4.4°, Spine=0.9°, YDiff=0.005"
118,9,"frame_022.png","Poor Posture","",0.026,33,10.3,3.2,0.0134,62.9,"Tilt=10.3°, Spine=3.2°, YDiff=0.013"
119,9,"frame_031.png","Good Posture","",0.008,9,9.9,4.1,0.0129,62.6,"Tilt=9.9°, Spine=4.1°, YDiff=0.013"
120,9,"frame_035.png","Best Posture","",0.238,155,3.8,3.3,0.005,63.1,"Tilt=3.8°, Spine=3.3°, YDiff=0.005"
121,9,"frame_036.png","Good Posture","",0.081,95,9.2,3.7,0.012,63.3,"Tilt=9.2°, Spine=3.7°, YDiff=0.012"
122,9,"frame_038.png","Poor Posture","",0.008,9,10.1,3.8,0.0125,60,"Tilt=10.1°, Spine=3.8°, YDiff=0.013"
123,9,"frame_046.png","Good Posture","",0.043,62,9.6,2.3,0.0126,63.6,"Tilt=9.6°, Spine=2.3°, YDiff=0.013"
124,9,"frame_052.png","Good Posture","",0.031,41,9.7,2.3,0.0119,59.2,"Tilt=9.7°, Spine=2.3°, YDiff=0.012"
125,9,"frame_053.png","Poor Posture","",0.011,11,10.1,3,0.0126,60.4,"Tilt=10.1°, Spine=3.0°, YDiff=0.013"
126,9,"frame_058.png","Poor Posture","",0.039,52,10.4,2.6,0.0135,62.9,"Tilt=10.4°, Spine=2.6°, YDiff=0.014"
127,9,"frame_060.png","Poor Posture","",0.015,18,10.2,3.1,0.0126,60,"Tilt=10.1°, Spine=3.1°, YDiff=0.013"
128,9,"frame_063.png","Poor Posture","",0.041,60,10.4,3.1,0.0135,62.6,"Tilt=10.4°, Spine=3.1°, YDiff=0.013"
129,10,"frame_001.png","Best Posture","",0.04,58,4.8,2.7,0.0125,72.1,"Tilt=4.8°, Spine=2.7°, YDiff=0.013"
130,10,"frame_009.png","Best Posture","",0.0893,100,3.3,6.8,0.009,75.3,"Tilt=3.3°, Spine=6.8°, YDiff=0.009"
131,10,"frame_014.png","Best Posture","",0.016,19,2.3,7.4,0.0062,74.6,"Tilt=2.3°, Spine=7.4°, YDiff=0.006"
132,10,"frame_015.png","Good Posture","",0.0387,51,2.5,7.8,0.007,76.1,"Tilt=2.5°, Spine=7.8°, YDiff=0.007"
133,10,"frame_017.png","Best Posture","",0.0027,3,3.5,7.5,0.0103,79.8,"Tilt=3.5°, Spine=7.5°, YDiff=0.010"
134,10,"frame_018.png","Poor Posture","",0.055,80,10.6,0.6,0.0414,112,"Tilt=10.5°, Spine=0.6°, YDiff=0.041"
135,10,"frame_022.png","Best Posture","",0.114,108,4.4,3.7,0.0127,79.1,"Tilt=4.4°, Spine=3.7°, YDiff=0.013"
136,10,"frame_025.png","Best Posture","",0.0427,61,2.6,7.2,0.0042,44.3,"Tilt=2.6°, Spine=7.2°, YDiff=0.004"
137,10,"frame_033.png","Best Posture","",0.124,115,4.4,2.9,0.0126,79.2,"Tilt=4.4°, Spine=2.9°, YDiff=0.013"
138,10,"frame_036.png","Best Posture","",0.114,108,4.4,0.8,0.0125,77.7,"Tilt=4.4°, Spine=0.8°, YDiff=0.012"
139,10,"frame_039.png","Good Posture","",0.037,49,9.6,11.2,0.0267,78.5,"Tilt=9.6°, Spine=11.2°, YDiff=0.027"
140,10,"frame_042.png","Best Posture","",0.226,149,3.9,1.1,0.0109,77.7,"Tilt=3.9°, Spine=1.1°, YDiff=0.011"
141,10,"frame_047.png","Best Posture","",0.058,83,4.7,3,0.0151,88.5,"Tilt=4.7°, Spine=3.0°, YDiff=0.015"
142,10,"frame_050.png","Best Posture","",0.1893,140,3.6,6.1,0.0105,79.7,"Tilt=3.6°, Spine=6.1°, YDiff=0.010"
143,10,"frame_053.png","Best Posture","",0.204,142,4,3.8,0.0118,81.5,"Tilt=4.0°, Spine=3.8°, YDiff=0.012"
144,10,"frame_056.png","Best Posture","",0.224,146,2.7,5.8,0.0085,86.2,"Tilt=2.7°, Spine=5.8°, YDiff=0.008"
145,10,"frame_061.png","Best Posture","",0.04,58,4.8,3.7,0.014,80.4,"Tilt=4.8°, Spine=3.7°, YDiff=0.014"
146,10,"frame_063.png","Best Posture","",0.1667,128,2.7,6.2,0.0081,81.3,"Tilt=2.7°, Spine=6.3°, YDiff=0.008"
147,10,"frame_069.png","Good Posture","",0.0333,44,3,7.8,0.0088,80.6,"Tilt=3.0°, Spine=7.7°, YDiff=0.009"
148,10,"frame_071.png","Best Posture","",0.17,129,4.2,1.6,0.0112,74.4,"Tilt=4.2°, Spine=1.6°, YDiff=0.011"
149,10,"frame_084.png","Best Posture","",0.184,136,4.1,0.4,0.0119,80.8,"Tilt=4.1°, Spine=0.4°, YDiff=0.012"
150,10,"frame_090.png","Best Posture","",0.008,8,1.8,7.4,0.0055,83.8,"Tilt=1.8°, Spine=7.4°, YDiff=0.006"
151,10,"frame_092.png","Best Posture","",0.0533,77,3.4,7.1,0.0104,83.7,"Tilt=3.4°, Spine=7.1°, YDiff=0.010"
152,10,"frame_100.png","Best Posture","",0.0747,89,3.8,6.9,0.011,79.2,"Tilt=3.8°, Spine=6.9°, YDiff=0.011"
153,10,"frame_105.png","Best Posture","",0.162,126,4.2,5.3,0.0121,79.5,"Tilt=4.2°, Spine=5.3°, YDiff=0.012"
154,10,"frame_107.png","Best Posture","",0.084,98,4.6,5.5,0.0137,82.5,"Tilt=4.6°, Spine=5.5°, YDiff=0.014"
155,10,"frame_108.png","Good Posture","",0.0533,77,2.4,7.9,0.0075,84.8,"Tilt=2.4°, Spine=7.9°, YDiff=0.008"
156,10,"frame_115.png","Good Posture","",0.0173,20,1.9,7.6,0.006,88.1,"Tilt=1.9°, Spine=7.6°, YDiff=0.006"
157,10,"frame_116.png","Best Posture","",0.1707,132,2.3,6.2,0.0071,84.8,"Tilt=2.3°, Spine=6.2°, YDiff=0.007"
158,10,"frame_118.png","Best Posture","",0.176,134,4.1,5.2,0.013,86.8,"Tilt=4.1°, Spine=5.2°, YDiff=0.013"
159,10,"frame_128.png","Best Posture","",0.044,63,1.6,7.2,0.0045,79.3,"Tilt=1.6°, Spine=7.2°, YDiff=0.005"
160,10,"frame_130.png","Best Posture","",0.14,120,4.3,0.1,0.0127,81.3,"Tilt=4.3°, Spine=0.1°, YDiff=0.013"
161,10,"frame_144.png","Best Posture","",0.152,121,1.1,6.4,0.0033,78.7,"Tilt=1.1°, Spine=6.4°, YDiff=0.003"
162,10,"frame_146.png","Good Posture","",0.072,87,2.7,8,0.0075,76.4,"Tilt=2.7°, Spine=8.0°, YDiff=0.008"
163,10,"frame_147.png","Best Posture","",0.0173,20,2.2,7.4,0.006,76.2,"Tilt=2.2°, Spine=7.4°, YDiff=0.006"
164,10,"frame_148.png","Good Posture","",0.08,93,1.7,8.1,0.005,80.3,"Tilt=1.7°, Spine=8.1°, YDiff=0.005"
165,10,"frame_150.png","Best Posture","",0.032,42,1.8,7.3,0.0049,75.4,"Tilt=1.8°, Spine=7.3°, YDiff=0.005"
166,10,"frame_152.png","Best Posture","",0.0693,86,1.8,7,0.0051,78.2,"Tilt=1.8°, Spine=7.0°, YDiff=0.005"
167,10,"frame_154.png","Best Posture","",0.0253,31,2.8,7.3,0.0082,80.8,"Tilt=2.8°, Spine=7.3°, YDiff=0.008"
168,10,"frame_158.png","Best Posture","",0.0227,26,1.5,7.3,0.0049,86.5,"Tilt=1.5°, Spine=7.3°, YDiff=0.005"
169,10,"frame_161.png","Good Posture","",0.0333,44,0.5,7.8,0.0014,76.2,"Tilt=0.5°, Spine=7.7°, YDiff=0.001"
170,10,"frame_162.png","Best Posture","",0.0987,101,1.5,6.8,0.0044,82.6,"Tilt=1.5°, Spine=6.8°, YDiff=0.004"
171,10,"frame_170.png","Best Posture","",0.2267,151,1.7,5.8,0.0052,82.3,"Tilt=1.7°, Spine=5.8°, YDiff=0.005"
172,10,"frame_175.png","Best Posture","",0.2307,154,1.9,5.8,0.0062,88.1,"Tilt=1.9°, Spine=5.8°, YDiff=0.006"
173,10,"frame_180.png","Best Posture","",0.0453,65,1.7,7.2,0.0056,91.7,"Tilt=1.7°, Spine=7.2°, YDiff=0.006"
174,10,"frame_182.png","Good Posture","",0.0493,70,1.3,7.9,0.0037,79,"Tilt=1.3°, Spine=7.9°, YDiff=0.004"
175,10,"frame_184.png","Best Posture","",0.012,14,0.2,7.4,0.0007,79.5,"Tilt=0.2°, Spine=7.4°, YDiff=0.001"
176,10,"frame_193.png","Best Posture","",0.156,123,1.7,6.3,0.0053,83.5,"Tilt=1.7°, Spine=6.3°, YDiff=0.005"
177,10,"frame_195.png","Best Posture","",0.044,63,0.2,7.2,0.0007,85.4,"Tilt=0.2°, Spine=7.2°, YDiff=0.001"
178,10,"frame_197.png","Good Posture","",0.0787,92,2.2,8.1,0.0066,82.1,"Tilt=2.2°, Spine=8.1°, YDiff=0.007"
179,10,"frame_202.png","Good Posture","",0.0527,76,0.6,14.2,0.0018,85.3,"Tilt=0.6°, Spine=14.2°, YDiff=0.002"
180,10,"frame_216.png","Best Posture","",0.0773,90,3,6.9,0.011,99.9,"Tilt=3.0°, Spine=6.9°, YDiff=0.011"
